abiotic,biotic,cca,macro,plob,poci,turf
0.0260,0.0008,0.0020,0.2005,0.6557,0.0063,0.0622
0.0060,0.0000,0.0010,0.1100,0.7315,0.0070,0.0462
0.0292,0.0002,0.0000,0.0587,0.7635,0.0045,0.0930
0.4448,0.0013,0.0002,0.0927,0.2190,0.0758,0.1237
0.0245,0.0073,0.0007,0.0412,0.7710,0.0325,0.0535
0.0178,0.0023,0.0002,0.0348,0.8288,0.0167,0.0525
0.0482,0.0165,0.0017,0.0720,0.5815,0.0708,0.1347
0.0265,0.0222,0.0280,0.0075,0.5235,0.2017,0.1348
0.0587,0.0395,0.1457,0.0035,0.2295,0.2637,0.1785
0.3872,0.0357,0.0037,0.0018,0.2617,0.1515,0.1193
0.1568,0.0478,0.0873,0.0002,0.1298,0.3368,0.1875
0.2405,0.0423,0.0897,0.0018,0.0405,0.2508,0.2822
