"location","depth","photo","group","successes","failures","cover"
"ana","dp","t1_1","abiotic",1,99,0.01
"ana","dp","t1_1","macro",17,83,0.17
"ana","dp","t1_1","non_reef",9,91,0.09
"ana","dp","t1_1","plob",62,38,0.62
"ana","dp","t1_1","turf",11,89,0.11
"ana","dp","t1_1","poci",0,100,0
"ana","dp","t1_1","cca",0,100,0
"ana","dp","t1_1","biotic",0,100,0
"ana","dp","t1_1","hard_coral_other",0,100,0
"ana","dp","t1_10","abiotic",0,100,0
"ana","dp","t1_10","macro",25,75,0.25
"ana","dp","t1_10","non_reef",6,94,0.06
"ana","dp","t1_10","plob",57,43,0.57
"ana","dp","t1_10","turf",12,88,0.12
"ana","dp","t1_10","poci",0,100,0
"ana","dp","t1_10","cca",0,100,0
"ana","dp","t1_10","biotic",0,100,0
"ana","dp","t1_10","hard_coral_other",0,100,0
"ana","dp","t1_11","abiotic",0,100,0
"ana","dp","t1_11","macro",9,91,0.09
"ana","dp","t1_11","non_reef",8,92,0.08
"ana","dp","t1_11","plob",83,17,0.83
"ana","dp","t1_11","turf",0,100,0
"ana","dp","t1_11","poci",0,100,0
"ana","dp","t1_11","cca",0,100,0
"ana","dp","t1_11","biotic",0,100,0
"ana","dp","t1_11","hard_coral_other",0,100,0
"ana","dp","t1_12","abiotic",0,100,0
"ana","dp","t1_12","macro",42,58,0.42
"ana","dp","t1_12","non_reef",2,98,0.02
"ana","dp","t1_12","plob",55,45,0.55
"ana","dp","t1_12","turf",1,99,0.01
"ana","dp","t1_12","poci",0,100,0
"ana","dp","t1_12","cca",0,100,0
"ana","dp","t1_12","biotic",0,100,0
"ana","dp","t1_12","hard_coral_other",0,100,0
"ana","dp","t1_13","abiotic",0,100,0
"ana","dp","t1_13","macro",29,71,0.29
"ana","dp","t1_13","non_reef",4,96,0.04
"ana","dp","t1_13","plob",66,34,0.66
"ana","dp","t1_13","turf",1,99,0.01
"ana","dp","t1_13","poci",0,100,0
"ana","dp","t1_13","cca",0,100,0
"ana","dp","t1_13","biotic",0,100,0
"ana","dp","t1_13","hard_coral_other",0,100,0
"ana","dp","t1_14","abiotic",0,100,0
"ana","dp","t1_14","macro",15,85,0.15
"ana","dp","t1_14","non_reef",3,97,0.03
"ana","dp","t1_14","plob",81,19,0.81
"ana","dp","t1_14","turf",1,99,0.01
"ana","dp","t1_14","poci",0,100,0
"ana","dp","t1_14","cca",0,100,0
"ana","dp","t1_14","biotic",0,100,0
"ana","dp","t1_14","hard_coral_other",0,100,0
"ana","dp","t1_15","abiotic",11,89,0.11
"ana","dp","t1_15","macro",17,83,0.17
"ana","dp","t1_15","non_reef",4,96,0.04
"ana","dp","t1_15","plob",67,33,0.67
"ana","dp","t1_15","turf",1,99,0.01
"ana","dp","t1_15","poci",0,100,0
"ana","dp","t1_15","cca",0,100,0
"ana","dp","t1_15","biotic",0,100,0
"ana","dp","t1_15","hard_coral_other",0,100,0
"ana","dp","t1_2","abiotic",0,100,0
"ana","dp","t1_2","macro",21,79,0.21
"ana","dp","t1_2","non_reef",2,98,0.02
"ana","dp","t1_2","plob",75,25,0.75
"ana","dp","t1_2","turf",1,99,0.01
"ana","dp","t1_2","poci",1,99,0.01
"ana","dp","t1_2","cca",0,100,0
"ana","dp","t1_2","biotic",0,100,0
"ana","dp","t1_2","hard_coral_other",0,100,0
"ana","dp","t1_3","abiotic",0,100,0
"ana","dp","t1_3","macro",10,90,0.1
"ana","dp","t1_3","non_reef",14,86,0.14
"ana","dp","t1_3","plob",60,40,0.6
"ana","dp","t1_3","turf",14,86,0.14
"ana","dp","t1_3","poci",0,100,0
"ana","dp","t1_3","cca",2,98,0.02
"ana","dp","t1_3","biotic",0,100,0
"ana","dp","t1_3","hard_coral_other",0,100,0
"ana","dp","t1_4","abiotic",0,100,0
"ana","dp","t1_4","macro",13,87,0.13
"ana","dp","t1_4","non_reef",12,88,0.12
"ana","dp","t1_4","plob",75,25,0.75
"ana","dp","t1_4","turf",0,100,0
"ana","dp","t1_4","poci",0,100,0
"ana","dp","t1_4","cca",0,100,0
"ana","dp","t1_4","biotic",0,100,0
"ana","dp","t1_4","hard_coral_other",0,100,0
"ana","dp","t1_5","abiotic",0,100,0
"ana","dp","t1_5","macro",14,86,0.14
"ana","dp","t1_5","non_reef",4,96,0.04
"ana","dp","t1_5","plob",65,35,0.65
"ana","dp","t1_5","turf",11,89,0.11
"ana","dp","t1_5","poci",5,95,0.05
"ana","dp","t1_5","cca",1,99,0.01
"ana","dp","t1_5","biotic",0,100,0
"ana","dp","t1_5","hard_coral_other",0,100,0
"ana","dp","t1_6","abiotic",0,100,0
"ana","dp","t1_6","macro",28,72,0.28
"ana","dp","t1_6","non_reef",5,95,0.05
"ana","dp","t1_6","plob",63,37,0.63
"ana","dp","t1_6","turf",4,96,0.04
"ana","dp","t1_6","poci",0,100,0
"ana","dp","t1_6","cca",0,100,0
"ana","dp","t1_6","biotic",0,100,0
"ana","dp","t1_6","hard_coral_other",0,100,0
"ana","dp","t1_7","abiotic",0,100,0
"ana","dp","t1_7","macro",33,67,0.33
"ana","dp","t1_7","non_reef",3,97,0.03
"ana","dp","t1_7","plob",37,63,0.37
"ana","dp","t1_7","turf",25,75,0.25
"ana","dp","t1_7","poci",2,98,0.02
"ana","dp","t1_7","cca",0,100,0
"ana","dp","t1_7","biotic",0,100,0
"ana","dp","t1_7","hard_coral_other",0,100,0
"ana","dp","t1_8","abiotic",0,100,0
"ana","dp","t1_8","macro",32,68,0.32
"ana","dp","t1_8","non_reef",6,94,0.06
"ana","dp","t1_8","plob",48,52,0.48
"ana","dp","t1_8","turf",14,86,0.14
"ana","dp","t1_8","poci",0,100,0
"ana","dp","t1_8","cca",0,100,0
"ana","dp","t1_8","biotic",0,100,0
"ana","dp","t1_8","hard_coral_other",0,100,0
"ana","dp","t1_9","abiotic",0,100,0
"ana","dp","t1_9","macro",24,76,0.24
"ana","dp","t1_9","non_reef",4,96,0.04
"ana","dp","t1_9","plob",51,49,0.51
"ana","dp","t1_9","turf",17,83,0.17
"ana","dp","t1_9","poci",4,96,0.04
"ana","dp","t1_9","cca",0,100,0
"ana","dp","t1_9","biotic",0,100,0
"ana","dp","t1_9","hard_coral_other",0,100,0
"ana","dp","t2_1","abiotic",0,100,0
"ana","dp","t2_1","macro",19,81,0.19
"ana","dp","t2_1","non_reef",5,95,0.05
"ana","dp","t2_1","plob",76,24,0.76
"ana","dp","t2_1","turf",0,100,0
"ana","dp","t2_1","poci",0,100,0
"ana","dp","t2_1","cca",0,100,0
"ana","dp","t2_1","biotic",0,100,0
"ana","dp","t2_1","hard_coral_other",0,100,0
"ana","dp","t2_10","abiotic",0,100,0
"ana","dp","t2_10","macro",29,71,0.29
"ana","dp","t2_10","non_reef",5,95,0.05
"ana","dp","t2_10","plob",62,38,0.62
"ana","dp","t2_10","turf",1,99,0.01
"ana","dp","t2_10","poci",2,98,0.02
"ana","dp","t2_10","cca",0,100,0
"ana","dp","t2_10","biotic",1,99,0.01
"ana","dp","t2_10","hard_coral_other",0,100,0
"ana","dp","t2_11","abiotic",0,100,0
"ana","dp","t2_11","macro",22,78,0.22
"ana","dp","t2_11","non_reef",7,93,0.07
"ana","dp","t2_11","plob",58,42,0.58
"ana","dp","t2_11","turf",13,87,0.13
"ana","dp","t2_11","poci",0,100,0
"ana","dp","t2_11","cca",0,100,0
"ana","dp","t2_11","biotic",0,100,0
"ana","dp","t2_11","hard_coral_other",0,100,0
"ana","dp","t2_12","abiotic",1,99,0.01
"ana","dp","t2_12","macro",14,86,0.14
"ana","dp","t2_12","non_reef",15,85,0.15
"ana","dp","t2_12","plob",68,32,0.68
"ana","dp","t2_12","turf",2,98,0.02
"ana","dp","t2_12","poci",0,100,0
"ana","dp","t2_12","cca",0,100,0
"ana","dp","t2_12","biotic",0,100,0
"ana","dp","t2_12","hard_coral_other",0,100,0
"ana","dp","t2_13","abiotic",7,93,0.07
"ana","dp","t2_13","macro",16,84,0.16
"ana","dp","t2_13","non_reef",6,94,0.06
"ana","dp","t2_13","plob",68,32,0.68
"ana","dp","t2_13","turf",1,99,0.01
"ana","dp","t2_13","poci",2,98,0.02
"ana","dp","t2_13","cca",0,100,0
"ana","dp","t2_13","biotic",0,100,0
"ana","dp","t2_13","hard_coral_other",0,100,0
"ana","dp","t2_14","abiotic",0,100,0
"ana","dp","t2_14","macro",16,84,0.16
"ana","dp","t2_14","non_reef",4,96,0.04
"ana","dp","t2_14","plob",74,26,0.74
"ana","dp","t2_14","turf",5,95,0.05
"ana","dp","t2_14","poci",0,100,0
"ana","dp","t2_14","cca",0,100,0
"ana","dp","t2_14","biotic",0,100,0
"ana","dp","t2_14","hard_coral_other",1,99,0.01
"ana","dp","t2_15","abiotic",0,100,0
"ana","dp","t2_15","macro",3,97,0.03
"ana","dp","t2_15","non_reef",13,87,0.13
"ana","dp","t2_15","plob",72,28,0.72
"ana","dp","t2_15","turf",9,91,0.09
"ana","dp","t2_15","poci",3,97,0.03
"ana","dp","t2_15","cca",0,100,0
